loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-1010.5820007324219,0.2552083333333333,12.155458927154541,False,,,1,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-17,1680345497,12.155458927154541,1553890,cuda01,172.29.16.1,12.155458927154541,0,1,0.0050601959228515625
-796.9314575195312,0.24479166666666666,3.033339500427246,False,,,2,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-20,1680345500,15.188798427581787,1553890,cuda01,172.29.16.1,15.188798427581787,0,2,0.0050601959228515625
-782.3627624511719,0.22395833333333334,2.884509325027466,False,,,3,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-23,1680345503,18.073307752609253,1553890,cuda01,172.29.16.1,18.073307752609253,0,3,0.0050601959228515625
-775.6139170328776,0.2552083333333333,2.9417407512664795,False,,,4,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-26,1680345506,21.015048503875732,1553890,cuda01,172.29.16.1,21.015048503875732,0,4,0.0050601959228515625
-769.3835093180338,0.2916666666666667,4.382697105407715,False,,,5,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-30,1680345510,25.397745609283447,1553890,cuda01,172.29.16.1,25.397745609283447,0,5,0.0050601959228515625
-766.6779073079427,0.22916666666666666,2.910808563232422,False,,,6,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-33,1680345513,28.30855417251587,1553890,cuda01,172.29.16.1,28.30855417251587,0,6,0.0050601959228515625
-764.7048492431641,0.22395833333333334,2.7980449199676514,False,,,7,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-36,1680345516,31.10659909248352,1553890,cuda01,172.29.16.1,31.10659909248352,0,7,0.0050601959228515625
-763.7291107177734,0.234375,2.952316999435425,False,,,8,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-39,1680345519,34.058916091918945,1553890,cuda01,172.29.16.1,34.058916091918945,0,8,0.0050601959228515625
-763.8213551839193,0.2552083333333333,2.8559625148773193,False,,,9,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-41,1680345521,36.914878606796265,1553890,cuda01,172.29.16.1,36.914878606796265,0,9,0.0050601959228515625
-763.3282216389974,0.19270833333333334,2.8418145179748535,True,,,10,e71fd_00138,45cebebbe6b74294b47649a9c64a7fae,2023-04-01_12-38-44,1680345524,39.75669312477112,1553890,cuda01,172.29.16.1,39.75669312477112,0,10,0.0050601959228515625
